No,Category,Word,POS,Phonetic,Meaning,Synonym,Example_EN,Example_JA,Level
0001,,last,動,"/ˈɫæs/, /ˈɫæst/",[動] ①続く ②持ちこたえる,,This TV programme will last another hour.,このテレビ番組は，さらにあと1時間続く。,基本単語
0002,,material,名,/məˈtɪɹiəɫ/,[名] ①原料 ②生地,,Concrete is one of the most common materials for buildings.,コンクリートは建物に最もよく使われる材料の１つだ。,基本単語
0003,,form,名 / 動,/ˈfɔɹm/,[名] ①形 ②型 / [動] を形づくる,,"Long ago, salt was used as a form of currency.",遠い昔には，塩が通貨の1形態として使われていた。,基本単語
0004,,given,前,"/ˈɡɪvən/, /ˈɡɪvɪn/",[前] を考慮すれば,,"Given his experience, it is natural that he should be chosen as the leader.",彼の経験を考慮すると，彼がリーダーに選ばれるのは当然だ。,基本単語
0005,,individual,形 / 名,/ˌɪndəˈvɪdʒəwəɫ/,[形] 個々の、個人の / [名] 個人,,A coach needs to communicate with individual team members.,コーチというものは，チームの個々のメンバーとコミュニケーションを取る必要がある。,基本単語
0006,,available,形,/əˈveɪɫəbəɫ/,[形] ①利用できる、入手できる ②購入可能な,,Food and drinks are available in the park.,その公園では飲食物を購入できる。,基本単語
0007,,land,動 / 名,/ˈɫænd/,[動] 上陸（着陸）する、を上陸（着陸）させる / [名] ①土地 ②陸地,,I watched the bird land on top of the tree.,私は，その鳥が木のてっぺんに止まるところを見ていた。,基本単語
0008,,method,名,/ˈmɛθəd/,[名] 方法,,Listening to an English song is one good method of learning English.,英語の歌を聞くことは，英語を習得するよい方法の１つだ。,基本単語
0009,,factor,名,/ˈfæktɝ/,[名] 要因、要素,,Lack of exercise was one factor in my gaining weight.,運動不足は，私が太った原因の１つだった。,基本単語
0010,,benefit,名 / 動,/ˈbɛnəfɪt/,[名] 利益、恩恵 / [動] のためになる、利益を得る,,Studying abroad can give you a lot of benefits.,留学は，数多くの利点をもたらし得る。,基本単語
0011,,per,前,/ˈpɝ/,[前] につき、ごとに,,The dinner course costs ￡100 per person.,そのディナーコースは１人あたり100ポンドかかる。,基本単語
0012,,evidence,名,/ˈɛvədəns/,[名] ①証拠 ②証言,,The man showed some evidence to the police officer.,その男性は警察官に証拠を見せた。,基本単語
0013,,ancient,形,"/ˈeɪnʃənt/, /ˈeɪntʃənt/",[形] 古代の,,I am learning about ancient Egyptian culture in university.,私は大学で古代エジプトの文化について学んでいる。,基本単語
0014,,approach,動 / 名,/əˈpɹoʊtʃ/,[動] に近づく / [名] ①接近 ②近づく道 ③手法、学習法,,I was surprised to see a whale approaching my yacht.,私はヨットにクジラが近づいてくるのを見て驚いた。,基本単語
0015,,experiment,名 / 動,/ɪkˈspɛɹəmənt/,[名] 実験 / [動] 実験する,,The researcher could not believe the results of the experiment.,研究者は，その実験結果が信じられなかった。,基本単語
0016,,feature,名,/ˈfitʃɝ/,[名] 機能、特徴、特色,,The fans were excited about the gaming device with a new feature.,愛好者たちは，新しい機能を備えたそのゲーム機に興奮していた。,基本単語
0017,,including,前,/ˌɪnˈkɫudɪŋ/,[前] を含む,,"Japanese historical buildings, including temples, attract people from other countries.",寺院を含む日本の歴史的建造物は，海外から訪れる人たちを魅了している。,基本単語
0018,,current,形 / 名,"/ˈkɑɹənt/, /ˈkɝənt/, /ˈkɝnt/",[形] 現在の、流行している / [名] ①流れ ②電流 ③風潮,,Many of the current fashions can be found in this magazine.,今流行しているファッションの多くは，この雑誌の中に見つけることができる。,基本単語
0019,,huge,形,"/ˈhjudʒ/, /ˈjudʒ/",[形] 巨大な、とてつもなく大きい,,That huge tree is said to have been standing there for centuries.,あの巨木は，何世紀にもわたってそこに立ち続けていると言われている。,基本単語
0020,,further,副,/ˈfɝðɝ/,[副] さらに、よりいっそう,,She tried to swim further to the island.,彼女は，さらにその島まで泳いで行こうとした。,基本単語
0021,,involve,動,/ˌɪnˈvɑɫv/,[動] （事件などに）を巻き込む、関係する,,John was involved in an accident on his way to work.,ジョンは出勤の途中で事故に巻き込まれた。,基本単語
0022,,organisation,名,/ˌɔɹɡənɪˈzeɪʃən/,[名] 組織、（公的）団体,,Liz works for an organisation that supports the poor.,リズは，貧困層を支援する団体で働いている。,基本単語
0023,,public,形 / 名,/ˈpəbɫɪk/,[形] 公共の / [名] (the〜で)一般の人々,,This park is a public area that people can use for free.,この公園は，人々が無料で利用することのできる公共の場である。,基本単語
0024,,advantage,名,/ædˈvæntɪdʒ/,[名] 利点、長所,,Discussing both advantages and disadvantages is important before making a decision.,決定を下す前に，メリットとデメリットの両方について議論することが大切だ。,基本単語
0025,,equipment,名,/ɪˈkwɪpmənt/,[名] ①装備、設備、機器 ②知識、技術,,You need to use the equipment carefully so that you will not get injured.,その機器は，けがをしないように慎重に使用する必要がある。,基本単語
0026,,sort,名 / 動,/ˈsɔɹt/,[名] 種類 / [動] を分類する,,Using a smartphone before going to bed is sort of a bad habit.,寝る前にスマートフォンを使うのは，あまりよい習慣ではない。,基本単語
0027,,demand,動 / 名,/dɪˈmænd/,[動] を要求する / [名] ①要求 ②需要,,She asked me why it happened and demanded an explanation.,彼女は私になぜそれが起こったのか尋ね，説明を求めた。,基本単語
0028,,until,接 / 前,/ənˈtɪɫ/,[接] 〜するときまで / [前] 〜まで,,Could you watch my bag until I come back?,私が戻ってくるまで，このバッグを見ていていただけますか。,基本単語
0029,,intelligence,名,/ˌɪnˈtɛɫədʒəns/,[名] 知能、知性,,Some sea animals are known for their high intelligence.,海洋動物の中には，知能が高いことで知られているものもいる。,基本単語
0030,,aspect,名,/ˈæsˌpɛkt/,[名] 面、様相,,The environmental issue has many difficult aspects.,その環境問題には，難しい側面が多々ある。,基本単語
0031,,exactly,副,/ɪɡˈzæktɫi/,[副] ①ちょうど、正確に ②（応答で）まったくそのとおりです。,,The train arrived at exactly 7 o’clock.,電車は７時ちょうどに到着した。,基本単語
0032,,affect,動,/əˈfɛkt/,[動] に影響する,,The change in the law negatively affected the lives of many people.,その法律の変更は，多くの人々の生活に悪影響を及ぼした。,基本単語
0033,,rather,副,"/ˈɹæðɝ/, /ˈɹəðɝ/",[副] ①かなり ②むしろ,,"We should not keep spending without thinking. Rather, we should save money.",私たちは考えなしに出費を続けるべきではない。むしろ，倹約すべきだ。,基本単語
0034,,term,名,/ˈtɝm/,[名] ①学期 ②期間 ③専門用語 ④（（複）で）（契約などの）条件,,"In most Japanese schools, a school year is divided into three terms.",日本のほとんどの学校では，学年度は３つの学期に分かれている,基本単語
0035,,function,名,/ˈfəŋkʃən/,[名] 機能,,A smartphone has much better functions than a PC from decades ago did.,スマートフォンは，数十年前のパソコンよりもはるかに優れた機能を備えている。,基本単語
0036,,measure,動 / 名,/ˈmɛʒɝ/,[動] を測る / [名] ①寸法 ②測定 ③（（複）で）対策、手段,,"Before buying furniture, you should measure the space where you will put it.",家具を購入する前に，それを置く場所の寸法を測るべきだ。,基本単語
0037,,ensure,動,"/ɛnˈʃʊɹ/, /ɪnˈʃʊɹ/",[動] を保証する、を確保する,,Please ensure that this information is sent to every member of our club.,この情報を，必ずクラブのメンバー全員に送るようにしてください。,基本単語
0038,,concern,名 / 動,/kənˈsɝn/,[名] ①心配 ②関心事 / [動] を心配させる,,"At the conference, many people expressed concern about the wildfire.",会議では，多くの人たちがその山火事についての懸念を表明した。,基本単語
0039,,plenty,代,"/ˈpɫɛni/, /ˈpɫɛnti/",[代] たくさん、豊富,,Plenty of good food and drinks were served at the party.,そのパーティーでは，おいしい食べ物や飲み物がたくさん提供された。,基本単語
0040,,addition,名,/əˈdɪʃən/,[名] ①追加（されたもの） ②足し算,,The accident was caused by bad weather in addition to human error.,その事故は，人為的ミスに加えて悪天候によって引き起こされた。,基本単語
0041,,contain,動,/kənˈteɪn/,[動] を含む、が入っている,,You should avoid eating foods that contain a lot of salt.,あなたは，塩分の多い食品を食べるのを避けるべきだ。,基本単語
0042,,decade,名,"/ˈdɛkeɪd/, /dɛˈkeɪd/",[名] 10年（間）,,"According to the news, it has been the hottest summer in a decade.",ニュースによると，今年はこの10年間で最も暑い夏だそうだ。,基本単語
0043,,present,動 / 形,"/ˈpɹɛzənt/, /pɝˈzɛnt/, /pɹiˈzɛnt/",[動] ①を示す ②を贈る / [形] ①存在している ②現在の,,You will be asked to present your passport at the port of entry.,通関手続き地では，パスポートの提示を求められる。,基本単語
0044,,advance,動 / 名,/ədˈvæns/,[動] ①進歩する ②を進める / [名] 前進、進歩,,Some people are worried that AI is advancing too fast.,AI（人工知能）があまりに急速に進歩していることを心配している人もいる。,基本単語
0045,,complex,形,"/ˈkɑmpɫɛks/, /kəmˈpɫɛks/",[形] 複雑な,,There are many complex reasons for the start of the war.,その戦争が始まったことには，多くの複雑な理由がある。,基本単語
0046,,useful,形,/ˈjusfəɫ/,[形] 役立つ、有益な,,Mr. Smith gives his students useful tips for learning foreign languages.,スミス先生は，生徒たちに外国語を学ぶ上で役立つヒントを教えてくれる。,基本単語
0047,,range,名,/ˈɹeɪndʒ/,[名] 範囲、領域,,People from a wide range of backgrounds attended the conference.,さまざまな経歴を持った人たちが，その会議に参加した。,基本単語
0048,,suggest,動,/səˈdʒɛst/,[動] ①を提案する ②を意味する,,My parents suggested that I should get a small computer for school.,私の両親は，学校で使うものとして小型のコンピューターを買ってはどうかと提案した。,基本単語
0049,,due,形,"/ˈdju/, /ˈdu/",[形] ①予定されている ②（支払いの）期限が来て,,The bus is due to arrive in ten minutes.,バスは10分後に到着することになっている。,基本単語
0050,,challenge,名 / 動,/ˈtʃæɫəndʒ/,[名] ①課題 ②異意 / [動] に異議を唱える,,I have a lot of challenges to deal with these days.,最近，私は対処しなければならない多くの問題を抱えている。,基本単語
0051,,characteristic,形 / 名,/ˌkɛɹəktɝˈɪstɪk/,[形] 独特な、特徴的な / [名] 特徴,,It is characteristic of my sister to stay calm in any situation.,どのような状況でも冷静でいられるのが，私の妹の特徴だ。,基本単語
0052,,suppose,動,/səˈpoʊz/,[動] ①（suppose (that) ...で）...だと思う ②仮定する,,I suppose the store will be renovated this year.,今年，その店は改装されるのではないかと思う。,基本単語
0053,,suitable,形,/ˈsutəbəɫ/,[形] 適した、ふさわしい,,This training programme is not suitable for beginners.,このトレーニング・プログラムは，初心者に適していない。,基本単語
0054,,leading,形,/ˈɫidɪŋ/,[形] 主要な,,The small company grew to be one of the leading computer manufacturers.,その小さな企業は成長を続け，主要コンピューターメーカーの１つとなった。,基本単語
0055,,encourage,動,"/ɛnˈkɝɪdʒ/, /ɪnˈkɝədʒ/",[動] ①を励ます ②を促す,,The captain encouraged her team members to practise harder.,キャプテンは彼女のチームのメンバーに，もっと身を入れて練習するよう促した。,基本単語
0056,,aim,名 / 動,/ˈeɪm/,[名] 目的、目標、ねらい / [動] めざす、ねらう,,Our aim is to increase sales by ten percent this spring.,私たちの目標は，この春の売上を10パーセント増やすことだ。,基本単語
0057,,claim,動 / 名,/ˈkɫeɪm/,[動] （当然の権利として）を要求［主張］する / [名] 要求、主張,,She claimed she had seen the famous actor in a café.,彼女は，カフェで有名な俳優を見かけたと言い張った。,基本単語
0058,,commercial,形,/kəˈmɝʃəɫ/,[形] 商業の、貿易の,,The image cannot be used for commercial purposes.,その画像は，商業的な目的で使うことはできない。,基本単語
0059,,concept,名,/ˈkɑnsɛpt/,[名] 概念,,It’s difficult to understand the concept of happiness.,幸福というものの概念を理解するのは難しい。,基本単語
0060,,attempt,名,/əˈtɛmpt/,[名] ①試み ②挑戦,,It was their second attempt to climb to the top of K2.,それは，彼らがK2の頂上に登る２度目の試みだった。,基本単語
0061,,accommodation,名,/əˌkɑməˈdeɪʃən/,[名] ①宿泊施設 ②適応、順応,,The accommodation for the trip to Austria was better than I expected.,オーストリア旅行の宿泊施設は，私の予想以上によかった。,基本単語
0062,,flat,形 / 名,/ˈfɫæt/,[形] ①平らな ②（時間が）きっかり / [名] (英)アパート（の1室）,,Let’s try to put up the tent on flat ground.,平坦な地面にテントを張るようにしましょう。,基本単語
0063,,article,名,"/ˈɑɹtəkəɫ/, /ˈɑɹtɪkəɫ/",[名] 記事、論文,,"The article included some mistakes, which many readers noticed.",その記事にはいくつかの間違いが含まれていて，それに多くの読者が気づいた。,基本単語
0064,,native,形,/ˈneɪtɪv/,[形] ①生まれつきの、母語の ②その土地固有の,,"He was born and raised in the U.S., but his native language is not English.",彼はアメリカで生まれ育ったが，彼の母国語は英語ではない。,基本単語
0065,,achieve,動,/əˈtʃiv/,[動] を成し遂げる、（目標など）を達成する,,The moon landing was once thought to be impossible to achieve.,月面への着陸は，かつては達成するのは不可能だと考えられていた。,基本単語
0066,,aware,形,/əˈwɛɹ/,[形] （〜に）気づいて,,I was not aware of my dog sleeping on my bed.,私は飼い犬が私のベッドで寝ているのに気づかなかった。,基本単語
0067,,decline,動 / 名,/dɪˈkɫaɪn/,[動] ①低下する ②（申し出など）を断る / [名] 低下、衰え、減少,,I don’t agree that one’s mental abilities decline.,私は，人の知的能力が衰えるという考えには賛成できない。,基本単語
0068,,display,動 / 名,/dɪsˈpɫeɪ/,[動] ①を展示する ②を表す / [名] 展示,,She displayed an amazing talent for music from a young age.,彼女は，幼い頃からすばらしい音楽の才能を発揮していた。,基本単語
0069,,reference,名,"/ˈɹɛfɝəns/, /ˈɹɛfɹəns/",[名] ①参考文献 ②言及 ③参照,,Can you show me the references for your research paper?,あなたの研究論文に使った参考文献を私に見せてもらえますか。,基本単語
0070,,tutorial,名,/tuˈtɔɹiəɫ/,[名] ①指導書、個別指導時間,,This tutorial will help you learn the basics of computer programming.,この指導書は，コンピューターのプログラミングの基礎を学ぶのに役立つ。,基本単語
0071,,atmosphere,名,/ˈætməsˌfɪɹ/,[名] ①大気、空気 ②雰囲気,,The café has a cozy atmosphere with soft candlelight.,そのカフェには，ろうそくの柔らかな明かりのおかげで居心地のよい雰囲気がある。,基本単語
0072,,alternative,形 / 名,/ɔɫˈtɝnətɪv/,[形] 代替の、代わりの / [名] 選択肢、代案,,"We should use alternative energy sources, instead of oil and gas.",私たちは，石油やガスの代わりに代替エネルギー源を使うべきだ。,基本単語
0073,,effective,形,"/ˈifɛktɪv/, /ɪˈfɛktɪv/",[形] 効果的な,,"Regular exercise is effective for losing weight, but it is difficult to continue.",定期的な運動は体重を減らすのに効果的だが，続けるのは難しい。,基本単語
0074,,application,名,/ˌæpɫəˈkeɪʃən/,[名] ①応用、適用 ②申し込み、出願,,We tend to forget that many scientific discoveries have applications in our daily life.,私たちは，多くの科学上の発見が私たちの日常生活に応用されていることを忘れがちだ。,基本単語
0075,,description,名,/dɪsˈkɹɪpʃən/,[名] ①描写 ②記述、説明,,Can you give me a description of the stolen bicycle?,その盗まれた自転車について，私に説明してもらえますか。,基本単語
0076,,occur,動,/əˈkɝ/,[動] （予期せず）起こる,,Several accidents occurred downtown because of the heavy snow.,大雪のため，中心街で数件の事故が発生した。,基本単語
0077,,board,名,/ˈbɔɹd/,[名] ①掲示板 ②委員会,,Any student can post messages on this board.,この掲示板には，どの学生でもメッセージを投稿することができる。,基本単語
0078,,patient,形 / 名,/ˈpeɪʃənt/,[形] がまん強い / [名] 患者,,He is so patient that he doesn’t mind waiting for a long time.,彼はとても辛抱強いので，長時間待つことをいとわない。,基本単語
0079,,essential,形 / 名,"/ɛˈsɛnʃəɫ/, /iˈsɛnʃəɫ/",[形] 不可欠の、本質的な / [名] 不可欠のもの,,Communicating in English is essential for working in a global company.,グローバル企業で働くには，英語でコミュニケーションを取ることが必要不可欠だ。,基本単語
0080,,bilingual,形,/baɪˈɫɪŋɡwəɫ/,[形] 2か国語を話す、2か国語併用の,,Watching bilingual news programmes is one effective way to learn a foreign language.,二か国語放送のニュース番組を見ることは，外国語を学ぶ効果的な方法の１つだ。,基本単語
0081,,operation,名,/ˌɑpɝˈeɪʃən/,①手術 ②操作 ③営業,,The doctor performed a difficult operation for four hours without taking a rest.,その医師は休憩することなく，４時間にわたって難しい手術を行った。,基本単語
0082,,efficient,形,/ɪˈfɪʃənt/,有能な、効率的な,,Nancy is an efficient worker who can do many tasks at a time.,ナンシーは，一度に多くの業務をこなすことできる有能な社員だ。,基本単語
0083,,indicate,動,/ˈɪndəˌkeɪt/,①を指摘する ②を示す,,The survey results indicated that our products are not as popular as they used to be.,その調査結果は，当社の製品は以前ほどの人気がないことを示している。,基本単語
0084,,social,形,/ˈsoʊʃəɫ/,①社会の ②社交的な ③社会性のある,,It is said that elephants are highly social animals.,ゾウは，とても社会性のある動物だと言われている。,基本単語
0085,,instrument,名,/ˈɪnstɹəmənt/,①道具 ②楽器,,My father likes using fine writing instruments for his work and hobbies.,私の父は，仕事や趣味で高級な筆記具を使うのが好きだ。,基本単語
0086,,limit,動 / 名,/ˈɫɪmət/,を限定する、を制限する / ①限界 ②制限 ③境界,,We may have to limit the number of visitors to the zoo.,私たちは，その動物園の入場者の数を制限しなければならないかもしれない。,基本単語
0087,,charge,動 / 名,/ˈtʃɑɹdʒ/,①（料金などを）請求する ②を非難する / ①料金、手数料 ②責任、告発,,The hotel charge for our dinner was very high.,そのホテルは，私たちに非常に高いディナー料金を請求した。,基本単語
0088,,existence,名,"/ɛɡˈzɪstəns/, /ɪɡˈzɪstəns/",存在、生存,,I believe in the existence of life on other planets.,私は，ほかの惑星にも生命体が存在すると信じている。,基本単語
0089,,institute,動 / 名,/ˈɪnstəˌtut/,を設立する、を制定する、を設ける / 学会、研究所,,The company will institute a 4-day work week starting this April.,その企業は，今年の４月から週４日勤務制を設ける予定だ。,基本単語
0090,,accurate,形,/ˈækjɝət/,正確な、事実に基づいた,,Any important decision should be made based on accurate information.,重要な決定は，正確な情報に基づいて下す必要がある。,基本単語
